Date,Country,City,Street,Type,Subtype,Location
,FR,Longjumeau,Rue du Canal,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289512 48.696307)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.29005 48.697554)
,FR,Villebon-sur-Yvette,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.253709 48.704531)
,FR,Longjumeau,Allée d'Effiat,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.291781 48.6975)
,FR,Longjumeau,Rue Rameau,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.318207 48.689676)
,FR,Wissous,Rue Pelletier,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.329763 48.73199)
,FR,Wissous,Voie de Montavas,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.325458 48.72676)
,FR,Longjumeau,Chemin des Ruches,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.325238 48.689002)
,FR,Longjumeau,Rue Rameau,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.318436 48.689465)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261016 48.627606)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290114 48.69765)
,FR,Linas,Avenue Georges Boillot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.259833 48.626221)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290118 48.697657)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290018 48.697507)
,FR,Longjumeau,Rue Rameau,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.318333 48.689561)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290041 48.697541)
,FR,Linas,Chemin Royal,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.262872 48.623978)
,FR,Verrières-le-Buisson,Avenue Georges Pompidou,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.27543 48.753907)
,FR,Verrières-le-Buisson,Boulevard du Maréchal Juin,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.273829 48.754036)
,FR,Longjumeau,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290014 48.697094)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261028 48.627618)
,FR,Les Ulis,Rue du Verdon,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.181479 48.676005)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289983 48.697453)
,FR,Longjumeau,Avenue de l'Abbé Pierre,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.302058 48.698243)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290138 48.697686)
,FR,Linas,Chemin Royal,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.264378 48.624015)
,FR,Longjumeau,Rue du Président François Mitterrand,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.295878 48.699111)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289827 48.697202)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290061 48.697571)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.224837 48.733113)
,FR,Verrières-le-Buisson,Avenue Gabriel Péri,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.267373 48.738396)
,FR,Linas,Avenue Georges Boillot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.26055 48.62695)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289846 48.697233)
,FR,Villebon-sur-Yvette,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.253446 48.704851)
,FR,Linas,Chemin Royal,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.262783 48.623625)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289841 48.697225)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290036 48.697533)
,FR,Linas,Rue de Leuville,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.263152 48.626878)
,FR,Verrières-le-Buisson,Avenue Gabriel Péri,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.267549 48.738109)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261019 48.62761)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289953 48.697405)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290032 48.697527)
,FR,Wissous,Voie de Montavas,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.325421 48.726788)
,FR,Palaiseau,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.256547 48.721547)
,FR,Wissous,Rue Guillaume Bigourdan,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.332369 48.732682)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290032 48.697528)
,FR,Wissous,Rue Pelletier,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.329742 48.731939)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261019 48.62761)
,FR,Ballainvilliers,Rue Normande,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.298135 48.677232)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.224118 48.732614)
,FR,Wissous,Rue Pelletier,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.32918 48.731291)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290006 48.697487)
,FR,Les Ulis,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.19365 48.676372)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290176 48.697742)
,FR,Longjumeau,Boulevard du Docteur Cathelin,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.293786 48.687028)
,FR,Wissous,Voie de Montavas,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.325499 48.726731)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289912 48.697339)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290018 48.697506)
,FR,Verrières-le-Buisson,Avenue Gabriel Péri,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.2676 48.738026)
,FR,Longjumeau,Chemin des Ruches,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.324516 48.688296)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290163 48.697722)
,FR,Saulx-les-Chartreux,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.272396 48.677985)
,FR,Linas,Chemin de Tabor,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.256015 48.620137)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.22481 48.733094)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.28998 48.697448)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289953 48.697406)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290037 48.697535)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.263069 48.626865)
,FR,Linas,Chemin Royal,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.26417 48.624083)
,FR,Verrières-le-Buisson,Avenue Gabriel Péri,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.267472 48.738234)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.22416 48.732642)
,FR,Linas,Avenue Georges Boillot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260408 48.626833)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.224894 48.733154)
,FR,Wissous,Rue Marcellin Berthelot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.316279 48.738053)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290115 48.697652)
,FR,Palaiseau,Rue Louise,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.238132 48.726927)
,FR,Longjumeau,Ruelle de l'Épinette,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.293621 48.688742)
,FR,Verrières-le-Buisson,Avenue Gabriel Péri,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.267496 48.738195)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290107 48.697639)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.225153 48.733337)
,FR,Verrières-le-Buisson,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.279157 48.750961)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289937 48.69738)
,FR,Verrières-le-Buisson,Boulevard du Maréchal Foch,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.266984 48.744344)
,FR,Orsay,Rue de la Ferme,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.185938 48.684493)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.225275 48.733424)
,FR,Verrières-le-Buisson,Boulevard du Maréchal Juin,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.273792 48.753999)
,FR,Wissous,Voie de Montavas,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.32553 48.726709)
,FR,Orsay,Rue de la Ferme,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.183141 48.68488)
,FR,Orsay,Rue de Chevreuse,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.178885 48.703722)
,FR,Saulx-les-Chartreux,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.26975 48.678751)
,FR,Saulx-les-Chartreux,Rue de Lunezy,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.277824 48.676305)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290083 48.697604)
,FR,Igny,Route de Vauhallan,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.228441 48.737475)
,FR,Palaiseau,Rue Paul Doumer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.248989 48.723728)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289948 48.697398)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289967 48.697427)
,FR,Linas,Chemin Royal,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.264641 48.623929)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261016 48.627606)
,FR,Linas,Rue de la Division Leclerc,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.266532 48.632472)
,FR,Wissous,Rue Pelletier,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.329642 48.731777)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.22486 48.733129)
,FR,Verrières-le-Buisson,Rue Marius Hue,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.279571 48.74323)
,FR,Verrières-le-Buisson,Boulevard du Maréchal Juin,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.273811 48.754018)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.224865 48.733133)
,FR,Longjumeau,Rue du Président François Mitterrand,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.295925 48.699208)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260979 48.627561)
,FR,Wissous,Rue Pelletier,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.329168 48.73128)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290112 48.697648)
,FR,Saulx-les-Chartreux,Chemin du Plessis Saint-Père,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.277115 48.671139)
,FR,Saulx-les-Chartreux,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.264184 48.681194)
,FR,Verrières-le-Buisson,Boulevard du Maréchal Juin,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.274483 48.754622)
,FR,Linas,Rue de la Division Leclerc,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.266482 48.632226)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290068 48.697582)
,FR,Wissous,Chemin des Prés,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.323852 48.748745)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261016 48.627606)
,FR,Marcoussis,Route du Chêne Rond,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.207585 48.641199)
,FR,Verrières-le-Buisson,Avenue Gabriel Péri,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.267749 48.73777)
,FR,Les Ulis,Avenue du Canada,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.192288 48.685155)
,FR,Orsay,Rue Nicolas Appert,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.175381 48.711901)
,FR,Marcoussis,Route du Chêne Rond,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.202953 48.643275)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261081 48.62766)
,FR,Linas,Rue de Guillerville,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261438 48.638124)
,FR,Wissous,Rue Pelletier,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.329161 48.731273)
,FR,Wissous,Rue Pelletier,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.32941 48.731526)
,FR,Longjumeau,Chemin des Ruches,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.324565 48.688321)
,FR,Saclay,D36,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.166009 48.729244)
,FR,Wissous,Voie de Montavas,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.325477 48.726747)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.224802 48.733088)
,FR,Linas,Avenue Georges Boillot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260484 48.626897)
,FR,Igny,Route de Vauhallan,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.228441 48.737475)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290037 48.697534)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.224844 48.733118)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261016 48.627606)
,FR,Saulx-les-Chartreux,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.264224 48.681175)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289971 48.697433)
,FR,Saulx-les-Chartreux,Chemin du Plessis Saint-Père,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.277113 48.671157)
,FR,Longjumeau,Rue du Président François Mitterrand,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.293167 48.69345)
,FR,Orsay,Rue de Chevreuse,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.178788 48.703727)
,FR,Orsay,Avenue de Lattre de Tassigny,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.183842 48.700456)
,FR,Linas,Avenue Georges Boillot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260518 48.626925)
,FR,Igny,D60,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.231461 48.738083)
,FR,Igny,Avenue Jean Jaurès,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.23529 48.73742)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261439 48.627727)
,FR,Palaiseau,Rue du Capitaine Cocart,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.235441 48.724837)
,FR,Wissous,Route d'Antony,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.321316 48.740678)
,FR,Verrières-le-Buisson,Avenue Gabriel Péri,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.267763 48.737733)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261085 48.627662)
,FR,La Ville-du-Bois,Rue des Joncs Marins,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.27071 48.664615)
,FR,Wissous,Route d'Antony,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.321876 48.740084)
,FR,Saulx-les-Chartreux,Chemin du Palais,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.262874 48.684749)
,FR,Verrières-le-Buisson,Rue Marius Hue,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.27905 48.742943)
,FR,Saulx-les-Chartreux,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260586 48.683218)
,FR,Palaiseau,Rue Paul Doumer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.248779 48.723686)
,FR,Linas,Avenue Georges Boillot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260479 48.626894)
,FR,Saulx-les-Chartreux,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.262772 48.681909)
,FR,Igny,Route de Vauhallan,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.227963 48.737543)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.226266 48.734123)
,FR,Wissous,Route d'Antony,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.321999 48.73992)
,FR,Palaiseau,Boulevard des Maréchaux,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.21694 48.710112)
,FR,Saulx-les-Chartreux,Avenue Sadi Carnot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.277481 48.672118)
,FR,Igny,Rue du Plateau,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.222325 48.727762)
,FR,Verrières-le-Buisson,Rue des Coteaux,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.241402 48.739823)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261016 48.627606)
,FR,Longjumeau,Chemin des Ruches,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.324711 48.688394)
,FR,Verrières-le-Buisson,Rue Marius Hue,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.280002 48.743471)
,FR,Marcoussis,Route du Chêne Rond,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.202158 48.64377)
,FR,Linas,Avenue Georges Boillot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260525 48.62693)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.225012 48.733237)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290012 48.697498)
,FR,Wissous,Route d'Antony,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.322033 48.739871)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.289979 48.697446)
,FR,Longjumeau,Rue Michel de Gaillard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.290066 48.697579)
,FR,Linas,Avenue Georges Boillot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260499 48.626909)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.26099 48.627575)
,FR,Marcoussis,Route du Chêne Rond,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.202079 48.643832)
,FR,Verrières-le-Buisson,Rue Marius Hue,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.279113 48.742977)
,FR,Igny,Rue du Plateau,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.222321 48.727758)
,FR,Verrières-le-Buisson,Rue Marius Hue,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.279961 48.743447)
,FR,Les Ulis,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.174796 48.674751)
,FR,Orsay,Avenue de Lattre de Tassigny,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.183854 48.700463)
,FR,Orsay,Rue de la Ferme,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.182171 48.68501)
,FR,Palaiseau,Rue Maurice Berteaux,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.239658 48.717162)
,FR,Igny,Route de Vauhallan,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.22834 48.737478)
,FR,Palaiseau,Boulevard des Maréchaux,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.216774 48.710118)
,FR,Igny,Avenue Jean Jaurès,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.235377 48.737359)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.226423 48.734231)
,FR,Igny,D60,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.231478 48.738083)
,FR,Orsay,Avenue Saint-Laurent,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.199231 48.698889)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.223748 48.732363)
,FR,Orsay,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.176319 48.710414)
,FR,Orsay,Avenue de Lattre de Tassigny,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.183559 48.700312)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.225602 48.733656)
,FR,Saulx-les-Chartreux,Rue de Lunezy,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.277839 48.676395)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.224984 48.733217)
,FR,Saulx-les-Chartreux,Chemin du Palais,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261891 48.68305)
,FR,Palaiseau,Résidence d'Estienne d'Orves,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.224964 48.724574)
,FR,Linas,Avenue Georges Boillot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260502 48.626912)
,FR,La Ville-du-Bois,Rue des Joncs Marins,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.263669 48.664648)
,FR,Wissous,Voie de Montavas,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.32537 48.726824)
,FR,Vauhallan,Chemin des Caves,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.209095 48.731019)
,FR,Saulx-les-Chartreux,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.267506 48.679762)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.226415 48.734225)
,FR,Saulx-les-Chartreux,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.262019 48.682366)
,FR,Saulx-les-Chartreux,Rue Fernand Léger,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.279741 48.686985)
,FR,Marcoussis,Route du Chêne Rond,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.200165 48.645237)
,FR,La Ville-du-Bois,Rue des Joncs Marins,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.265109 48.664723)
,FR,Igny,Avenue de la République,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.224833 48.73311)
,FR,Longjumeau,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.28992 48.691811)
,FR,Saulx-les-Chartreux,Chemin du Palais,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.262693 48.684276)
,FR,Orsay,Avenue Saint-Laurent,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.196526 48.69886)
,FR,Wissous,Route d'Antony,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.322036 48.739867)
,FR,Verrières-le-Buisson,Rue Blin,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.267143 48.751283)
,FR,Igny,Rue du Plateau,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.222397 48.727849)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.261061 48.627646)
,FR,Linas,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260957 48.627537)
,FR,Nozay,Route de Montlhéry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.247974 48.652766)
,FR,Linas,Avenue Georges Boillot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.26045 48.62687)
,FR,Igny,D60,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.231491 48.738083)
,FR,Wissous,Route d'Antony,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.321684 48.740319)
,FR,Villebon-sur-Yvette,Rue du Regard,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.25373 48.704648)
,FR,Linas,Avenue Georges Boillot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.260457 48.626875)
,FR,Longjumeau,Rue Jules Ferry,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.29902 48.688182)
,FR,Verrières-le-Buisson,Rue d'Antony,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.268729 48.747832)
